iter	Recall	Logloss
0	0.8120401338	0.67214683
1	0.7973244147	0.6523793414
2	0.7973244147	0.6337968035
3	0.8040133779	0.62032021
4	0.8160535117	0.6071090455
5	0.8180602007	0.5954943954
6	0.8180602007	0.5849419855
7	0.8220735786	0.5753765382
8	0.820735786	0.5665701778
9	0.8200668896	0.5582479682
10	0.820735786	0.551106562
11	0.8193979933	0.5443693322
12	0.8147157191	0.537803486
13	0.8133779264	0.5316910039
14	0.8153846154	0.52696244
15	0.8153846154	0.5220169324
16	0.816722408	0.5173426478
17	0.816722408	0.5139149476
18	0.8153846154	0.5100902731
19	0.8133779264	0.5073294703
20	0.8160535117	0.5048279642
21	0.8133779264	0.501548098
22	0.8133779264	0.4987361745
23	0.8086956522	0.4959007835
24	0.8107023411	0.4931061982
25	0.8113712375	0.491038915
26	0.8100334448	0.4891901645
27	0.8080267559	0.4869500551
28	0.8200668896	0.4846158996
29	0.8200668896	0.4823615743
30	0.8193979933	0.4806831841
31	0.8220735786	0.4798113956
32	0.8227424749	0.4786639216
33	0.8220735786	0.4771917558
34	0.8220735786	0.4758810595
35	0.8220735786	0.4746920941
36	0.8287625418	0.4732983538
37	0.8301003344	0.4719765756
38	0.8274247492	0.4708046401
39	0.8287625418	0.4695434553
40	0.8334448161	0.468148402
41	0.8341137124	0.4672043092
42	0.835451505	0.465726675
43	0.8367892977	0.4645152127
44	0.8361204013	0.4640955427
45	0.837458194	0.4632587681
46	0.8367892977	0.4620458751
47	0.8401337793	0.4611401569
48	0.8401337793	0.4601604162
49	0.8401337793	0.4598712759
50	0.8401337793	0.4586466335
51	0.8394648829	0.4575543815
52	0.8394648829	0.4565437071
53	0.8394648829	0.4558295109
54	0.837458194	0.4551472998
55	0.8387959866	0.4540854916
56	0.8394648829	0.4530863315
57	0.8394648829	0.4525178976
58	0.8408026756	0.451890149
59	0.8408026756	0.4510036373
60	0.8394648829	0.450334686
61	0.8408026756	0.4499413434
62	0.8401337793	0.4493203164
63	0.8414715719	0.4488093882
64	0.8414715719	0.4484287386
65	0.8408026756	0.4480151693
66	0.8408026756	0.4476150416
67	0.8414715719	0.447249502
68	0.8414715719	0.4465742748
69	0.8428093645	0.4459058631
70	0.8428093645	0.4453450872
71	0.8441471572	0.4447507847
72	0.8434782609	0.4441346659
73	0.8441471572	0.4432876651
74	0.8428093645	0.4430334684
75	0.8434782609	0.4425094322
76	0.8434782609	0.4419874886
77	0.8448160535	0.4413575925
78	0.8441471572	0.4409117715
79	0.8434782609	0.4403040534
80	0.8428093645	0.4396461492
81	0.8434782609	0.4390748527
82	0.8441471572	0.4384517265
83	0.8448160535	0.4379993851
84	0.8454849498	0.4375546257
85	0.8454849498	0.4370662188
86	0.8441471572	0.4364523524
87	0.8461538462	0.4363728595
88	0.8454849498	0.4363139127
89	0.8454849498	0.4356663868
90	0.8448160535	0.435036366
91	0.8454849498	0.4344981738
92	0.8474916388	0.4340619132
93	0.8481605351	0.4337472002
94	0.8461538462	0.433233942
95	0.8474916388	0.4327461563
96	0.8481605351	0.4322721183
97	0.8501672241	0.4319926115
98	0.8481605351	0.4317298864
99	0.8488294314	0.4310255622
100	0.8488294314	0.4307226949
101	0.8488294314	0.430407216
102	0.8481605351	0.429860213
103	0.8481605351	0.4298044461
104	0.8481605351	0.4296834775
105	0.8488294314	0.4290374875
106	0.8494983278	0.4282000716
107	0.8508361204	0.4275595137
108	0.8515050167	0.4270107886
109	0.8528428094	0.426511447
110	0.8528428094	0.4261743182
111	0.8528428094	0.4261506796
112	0.852173913	0.4256579276
113	0.8528428094	0.4249486917
114	0.8528428094	0.4247960182
115	0.854180602	0.4242982419
116	0.854180602	0.4239765231
117	0.8548494983	0.4235810011
118	0.854180602	0.423100999
119	0.8548494983	0.4226087374
120	0.8555183946	0.4219987265
121	0.8548494983	0.4215394711
122	0.8555183946	0.4212120104
123	0.8555183946	0.4208091222
124	0.8555183946	0.4207723416
125	0.856187291	0.4203461154
126	0.856187291	0.4203321571
127	0.856187291	0.4197985488
128	0.856187291	0.4194110575
129	0.8568561873	0.4188697552
130	0.856187291	0.4186394573
131	0.856187291	0.4182737216
132	0.856187291	0.4177568336
133	0.856187291	0.4172653432
134	0.856187291	0.4169100031
135	0.8568561873	0.4165921873
136	0.8568561873	0.4162701663
137	0.8568561873	0.4160302408
138	0.8575250836	0.4156446824
139	0.8575250836	0.415164101
140	0.8588628763	0.4147102113
141	0.8595317726	0.4139735943
142	0.8622073579	0.4135378892
143	0.8628762542	0.4130398353
144	0.8622073579	0.4126645696
145	0.8642140468	0.4122487084
146	0.8648829431	0.4118024181
147	0.8648829431	0.4113418469
148	0.8655518395	0.4109234756
149	0.8662207358	0.4103842187
150	0.8648829431	0.4098987227
151	0.8648829431	0.4096647653
152	0.8648829431	0.4096352176
153	0.8655518395	0.4090534439
154	0.8655518395	0.4088410538
155	0.8668896321	0.4084547853
156	0.8655518395	0.4080394709
157	0.8662207358	0.4076565018
158	0.8662207358	0.4072176076
159	0.8662207358	0.4069417544
160	0.8675585284	0.4064976814
161	0.8675585284	0.4061994386
162	0.8675585284	0.4057922206
163	0.8682274247	0.4053768981
164	0.8682274247	0.4050960922
165	0.8682274247	0.4046078563
166	0.8682274247	0.404167364
167	0.8688963211	0.4039732673
168	0.8682274247	0.403638949
169	0.8668896321	0.403147779
170	0.8675585284	0.4026884601
171	0.8688963211	0.4024594206
172	0.8688963211	0.4022235182
173	0.8688963211	0.4019220166
174	0.8688963211	0.4015337235
175	0.8695652174	0.401032629
176	0.8695652174	0.4007146032
177	0.8702341137	0.4003242127
178	0.8702341137	0.4000264284
179	0.8695652174	0.3998414123
180	0.8702341137	0.3995796733
181	0.8695652174	0.3991715249
182	0.8682274247	0.3987166588
183	0.8682274247	0.3984796371
184	0.8682274247	0.3981643221
185	0.8695652174	0.3978466678
186	0.87090301	0.3975571517
187	0.8715719064	0.3972230594
188	0.8715719064	0.3970361607
189	0.8722408027	0.3967653982
190	0.8735785953	0.3961966517
191	0.872909699	0.3958695204
192	0.8715719064	0.3956314762
193	0.872909699	0.3950359166
194	0.8715719064	0.3946927446
195	0.8715719064	0.3944388886
196	0.8722408027	0.3941056429
197	0.8722408027	0.3937681321
198	0.8722408027	0.3934625263
199	0.872909699	0.3930848185
200	0.8735785953	0.3927664359
201	0.872909699	0.3923101172
202	0.874916388	0.3919947429
203	0.8735785953	0.3917009352
204	0.8735785953	0.3914381006
205	0.8742474916	0.3912476728
206	0.874916388	0.3910174229
207	0.8735785953	0.3906504529
208	0.8742474916	0.3902514699
209	0.8755852843	0.3898618482
210	0.8769230769	0.3894205538
211	0.8769230769	0.3890273705
212	0.8762541806	0.3887238923
213	0.8762541806	0.3884417255
214	0.8762541806	0.3882807465
215	0.8762541806	0.3880862799
216	0.8762541806	0.3877974576
217	0.8762541806	0.3873737606
218	0.8775919732	0.3869165453
219	0.8789297659	0.3864572791
220	0.8795986622	0.3860533517
221	0.8802675585	0.3857715751
222	0.8809364548	0.3854911053
223	0.8809364548	0.3851850914
224	0.8816053512	0.3849265274
225	0.8822742475	0.3846337738
226	0.8822742475	0.3844247267
227	0.8816053512	0.384239863
228	0.8816053512	0.3839655774
229	0.8822742475	0.3836619246
230	0.8822742475	0.3833459445
231	0.8822742475	0.383050402
232	0.8816053512	0.3825315816
233	0.8822742475	0.3820038538
234	0.8829431438	0.3818212486
235	0.8836120401	0.3814833171
236	0.8842809365	0.3811231609
237	0.8849498328	0.3806911561
238	0.8849498328	0.3805163662
239	0.8856187291	0.3801314025
240	0.8842809365	0.3798954302
241	0.8849498328	0.3793388342
242	0.8856187291	0.3790132986
243	0.8856187291	0.3785496426
244	0.8856187291	0.3783134149
245	0.8856187291	0.3780202822
246	0.8869565217	0.3777605312
247	0.8869565217	0.3774786528
248	0.8882943144	0.3771024779
249	0.8876254181	0.3768527182
250	0.8876254181	0.3763867864
251	0.8882943144	0.37610004
252	0.8882943144	0.3756470137
253	0.8882943144	0.3754226543
254	0.8882943144	0.3748816327
255	0.8903010033	0.3744973366
256	0.889632107	0.3742256498
